asset_id,origin,repository,source_label,relative_path,name,filename,extension,kind,category,subcategory,pack,size_bytes,sha256,duplicate_count,duplicate_group,technical_status,license_status,license_evidence,preview_path,analysis_notes,audio_bit_rate,audio_channel_layout,audio_channels,audio_codec,audio_duration_seconds,audio_sample_rate,decoded_memory_bytes_estimate,dominant_colors_rgb,error,generated_at,image_bit_depth_estimate,image_channels,image_format,image_frames,image_has_alpha,image_height,image_icc_profile,image_mode,image_power_of_two,image_width,is_duplicate,mime_type,model_representative_asset_id,sampled_color_count,text_line_count_estimate,text_preview,texture_role,video_bit_rate,video_codec,video_duration_seconds,video_fps,video_height,video_width,warnings
TEM-000011,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/woc-logo-guide.webp,woc-logo-guide,woc-logo-guide.webp,.webp,IMAGE_TEXTURE,Woc-Logo-Guide.Webp,Geral,World of Claudecraft,20320,1ed3f3b126581e71a634db9485c9064f22de5090e9a419ccf9b6490a7c716851,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000011_woc-logo-guide.jpg,[],,,,,,,152960,"[[0,0,0],[1,1,1],[2,2,2],[0,1,0],[3,3,3]]",,2026-08-17T18:53:10+00:00,8,4,WEBP,1,True,160,False,RGBA,False,239,False,application/octet-stream,,2982,,,unspecified,,,,,,,[]
TEM-000012,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/worldofclaudecraft-logo.png,worldofclaudecraft-logo,worldofclaudecraft-logo.png,.png,IMAGE_TEXTURE,Worldofclaudecraft-Logo.Png,Geral,World of Claudecraft,1140086,a2c40770d241a53e67424bf2bdf18eb12d0929de042dccda8637a860657af0f4,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000012_worldofclaudecraft-logo.jpg,[],,,,,,,2558448,"[[0,0,0],[1,1,1],[1,1,0],[2,2,1],[1,0,0]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,654,False,RGBA,False,978,False,image/png,,2658,,,unspecified,,,,,,,[]
TEM-000013,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/favicon-16x16.png,favicon-16x16,favicon-16x16.png,.png,IMAGE_TEXTURE,Favicon-16X16.Png,Geral,World of Claudecraft,1892,9cc7c7fa836993626f16f4383ef8fba39a39df276fd23b8b1967458d322f7e00,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000013_favicon-16x16.jpg,[],,,,,,,1024,"[[0,0,0],[0,8,24],[0,5,14],[0,4,10],[0,3,8]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,16,False,RGBA,True,16,False,image/png,,3226,,,unspecified,,,,,,,[]
TEM-000014,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/audio/dungeon-boss-fight.mp3,dungeon-boss-fight,dungeon-boss-fight.mp3,.mp3,AUDIO,Audio,Dungeon-Boss-Fight.Mp3,World of Claudecraft,6280451,2e2215eac56616430d8f3f1596e49f364565931cce41f43e9d67e454fa051d05,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000014_dungeon-boss-fight.png,[],182508,stereo,2,mp3,274.704,48000,,,,2026-08-17T18:53:10+00:00,,,,,,,,,,,False,audio/mpeg,,,,,,,,,,,,[]
TEM-000015,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/audio/main-theme.mp3,main-theme,main-theme.mp3,.mp3,AUDIO,Audio,Main-Theme.Mp3,World of Claudecraft,2861914,fc3f0272d12ffa62068d845a296fdbb6d0bee17be4691f869837da2403c06d6c,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000015_main-theme.png,[],128000,stereo,2,mp3,178.834286,44100,,,,2026-08-17T18:53:10+00:00,,,,,,,,,,,False,audio/mpeg,,,,,,,,,,,,[]
TEM-000016,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/audio/sowfield-waiting.mp3,sowfield-waiting,sowfield-waiting.mp3,.mp3,AUDIO,Audio,Sowfield-Waiting.Mp3,World of Claudecraft,4545702,37481346fe439caee6c2c3c1f02c47a48a06aea47284a4bcc73d8bff47855390,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000016_sowfield-waiting.png,[],197598,stereo,2,mp3,184.032,48000,,,,2026-08-17T18:53:10+00:00,,,,,,,,,,,False,audio/mpeg,,,,,,,,,,,,[]
TEM-000017,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/audio/sowfield-match.mp3,sowfield-match,sowfield-match.mp3,.mp3,AUDIO,Audio,Sowfield-Match.Mp3,World of Claudecraft,5758086,3f7987e91b29f37441faac644a68ea67e283194b07bca3b4e13d5baa3b5f76fc,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000017_sowfield-match.png,[],202973,stereo,2,mp3,226.944,48000,,,,2026-08-17T18:53:10+00:00,,,,,,,,,,,False,audio/mpeg,,,,,,,,,,,,[]
TEM-000018,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/claudium/claudium_coin_hero_3q.webp,claudium_coin_hero_3q,claudium_coin_hero_3q.webp,.webp,IMAGE_TEXTURE,Claudium,Claudium Coin Hero 3Q.Webp,World of Claudecraft,126368,302c973792f757724f9e35e4230a7f83a335cfeafc885bb8d0b9ab06d43b920b,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000018_claudium_coin_hero_3q.jpg,[],,,,,,,3145728,"[[13,18,28],[12,15,25],[14,19,29],[12,15,24],[14,19,30]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,1024,False,RGB,True,1024,False,application/octet-stream,,2152,,,unspecified,,,,,,,[]
TEM-000019,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/textures/fenbridge_surface_atlas.webp,fenbridge_surface_atlas,fenbridge_surface_atlas.webp,.webp,IMAGE_TEXTURE,Textures,Fenbridge Surface Atlas.Webp,World of Claudecraft,87780,527a4afd4116ff8ee2d70a5a6af8db1e93ed17f388f48cb77c199d51b5bbb5c9,2,DUP-00001,OK,FOUND_NEARBY,LICENSE,previews/TEM-000019_fenbridge_surface_atlas.jpg,[],,,,,,,786432,"[[95,77,51],[90,67,45],[77,62,45],[115,85,61],[86,64,44]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,512,False,RGB,True,512,True,application/octet-stream,,3550,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00001 (2 cópias).""]"
TEM-000020,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/textures/eastbrook_surface_rough.webp,eastbrook_surface_rough,eastbrook_surface_rough.webp,.webp,IMAGE_TEXTURE,Textures,Eastbrook Surface Rough.Webp,World of Claudecraft,122242,c236f266a99480a437a66b2d54ba86e7ce344f0569d20ba2f45cde53fd75f02e,2,DUP-00002,OK,FOUND_NEARBY,LICENSE,previews/TEM-000020_eastbrook_surface_rough.jpg,[],,,,,,,786432,"[[213,213,213],[202,202,202],[200,200,200],[199,199,199],[214,214,214]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,512,False,RGB,True,512,True,application/octet-stream,,144,,,roughness,,,,,,,"[""Duplicado exato: grupo DUP-00002 (2 cópias).""]"
TEM-000021,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/textures/eastbrook_surface_atlas.webp,eastbrook_surface_atlas,eastbrook_surface_atlas.webp,.webp,IMAGE_TEXTURE,Textures,Eastbrook Surface Atlas.Webp,World of Claudecraft,141666,d66f2fab603aa83e6c73c6fc4bdde2d545a6d8c1a0d4a58d42a3fb227e5a3f9b,2,DUP-00003,OK,FOUND_NEARBY,LICENSE,previews/TEM-000021_eastbrook_surface_atlas.jpg,[],,,,,,,786432,"[[226,226,226],[230,230,230],[229,229,229],[225,225,225],[228,228,228]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,512,False,RGB,True,512,True,application/octet-stream,,59,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00003 (2 cópias).""]"
TEM-000022,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/textures/eastbrook_surface_normal.webp,eastbrook_surface_normal,eastbrook_surface_normal.webp,.webp,IMAGE_TEXTURE,Textures,Eastbrook Surface Normal.Webp,World of Claudecraft,107466,905e7210b9f3d0c7ea252dccb93dc319cc75153ea27968d4ae243ccdd7695424,2,DUP-00004,OK,FOUND_NEARBY,LICENSE,previews/TEM-000022_eastbrook_surface_normal.jpg,[],,,,,,,786432,"[[127,127,255],[128,127,255],[127,128,255],[126,126,255],[126,127,255]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,512,False,RGB,True,512,True,application/octet-stream,,270,,,normal,,,,,,,"[""Duplicado exato: grupo DUP-00004 (2 cópias).""]"
TEM-000023,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/textures/fenbridge_surface_roughness.webp,fenbridge_surface_roughness,fenbridge_surface_roughness.webp,.webp,IMAGE_TEXTURE,Textures,Fenbridge Surface Roughness.Webp,World of Claudecraft,17080,ea442943770ba8b7fc06783654ef34f6f2a7aee7d1e272a6d26800b31d410b4a,2,DUP-00005,OK,FOUND_NEARBY,LICENSE,previews/TEM-000023_fenbridge_surface_roughness.jpg,[],,,,,,,786432,"[[140,140,181],[209,209,0],[208,208,0],[227,228,1],[226,227,1]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,512,False,RGB,True,512,True,application/octet-stream,,1113,,,roughness,,,,,,,"[""Duplicado exato: grupo DUP-00005 (2 cópias).""]"
TEM-000024,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/textures/fenbridge_surface_normal.webp,fenbridge_surface_normal,fenbridge_surface_normal.webp,.webp,IMAGE_TEXTURE,Textures,Fenbridge Surface Normal.Webp,World of Claudecraft,90220,d68714b1925f792840fd1b6dd90d682c5bc2e7a474177105e3a9bb12a017cef9,2,DUP-00006,OK,FOUND_NEARBY,LICENSE,previews/TEM-000024_fenbridge_surface_normal.jpg,[],,,,,,,786432,"[[129,127,254],[128,127,254],[128,125,254],[128,126,254],[127,127,254]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,512,False,RGB,True,512,True,application/octet-stream,,1478,,,normal,,,,,,,"[""Duplicado exato: grupo DUP-00006 (2 cópias).""]"
TEM-000025,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/slash_02.png,slash_02,slash_02.png,.png,IMAGE_TEXTURE,Vfx,Slash 02.Png,World of Claudecraft,28122,4c226fe5bcc428ad8859f49832c1a933e31450dc0bafca8ab33610d15d3ea876,2,DUP-00007,OK,FOUND_NEARBY,LICENSE,previews/TEM-000025_slash_02.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[2,2,2],[3,3,3],[5,5,5]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,192,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00007 (2 cópias).""]"
TEM-000026,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/flare_01.png,flare_01,flare_01.png,.png,IMAGE_TEXTURE,Vfx,Flare 01.Png,World of Claudecraft,17953,439a58c4e3486031996af880a841067961218cb7f7cc513ded25dc480f50f840,2,DUP-00008,OK,FOUND_NEARBY,LICENSE,previews/TEM-000026_flare_01.jpg,[],,,,,,,262144,"[[0,0,0],[1,1,1],[3,3,3],[5,5,5],[11,11,11]]",,2026-08-17T18:53:10+00:00,8,1,PNG,1,False,512,False,P,True,512,True,image/png,,111,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00008 (2 cópias).""]"
TEM-000027,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/trace_05.png,trace_05,trace_05.png,.png,IMAGE_TEXTURE,Vfx,Trace 05.Png,World of Claudecraft,22660,89ec5d9a02676f5fe83f398a1b869c15e91dc65bef01d2c5f7c67b59bd2a9d8b,2,DUP-00009,OK,FOUND_NEARBY,LICENSE,previews/TEM-000027_trace_05.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[2,2,2],[3,3,3],[5,5,5]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,192,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00009 (2 cópias).""]"
TEM-000028,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/smoke_05.png,smoke_05,smoke_05.png,.png,IMAGE_TEXTURE,Vfx,Smoke 05.Png,World of Claudecraft,67943,d45c9fb99de978e0558492e0a3517ca5f3d8fb4530724c22b1ede6c2f85b16b2,2,DUP-00010,OK,FOUND_NEARBY,LICENSE,previews/TEM-000028_smoke_05.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[2,2,2],[70,70,70],[3,3,3]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,191,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00010 (2 cópias).""]"
TEM-000029,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/light_01.png,light_01,light_01.png,.png,IMAGE_TEXTURE,Vfx,Light 01.Png,World of Claudecraft,60764,c9e0e947892b87cb71e110e60d85798810142b11aed154542c50b17dc93033b0,2,DUP-00011,OK,FOUND_NEARBY,LICENSE,previews/TEM-000029_light_01.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[4,4,4],[3,3,3],[10,10,10]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,241,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00011 (2 cópias).""]"
TEM-000030,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/flame_03.png,flame_03,flame_03.png,.png,IMAGE_TEXTURE,Vfx,Flame 03.Png,World of Claudecraft,34261,195f614a39a40b3e03961887e2d817f19bf4ec47f7091a42977c9923b55d8ccf,2,DUP-00012,OK,FOUND_NEARBY,LICENSE,previews/TEM-000030_flame_03.jpg,[],,,,,,,262144,"[[0,0,0],[1,1,1],[2,2,2],[128,128,128],[118,118,118]]",,2026-08-17T18:53:10+00:00,8,1,PNG,1,False,512,False,P,True,512,True,image/png,,142,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00012 (2 cópias).""]"
TEM-000031,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/dirt_02.png,dirt_02,dirt_02.png,.png,IMAGE_TEXTURE,Vfx,Dirt 02.Png,World of Claudecraft,53980,64c4d7d7f529e9ce78929ebf5b312b664ac177cfb63b943f5f2fa2b9bffe9452,2,DUP-00013,OK,FOUND_NEARBY,LICENSE,previews/TEM-000031_dirt_02.jpg,[],,,,,,,262144,"[[0,0,0],[1,1,1],[4,4,4],[2,2,2],[7,7,7]]",,2026-08-17T18:53:10+00:00,8,1,PNG,1,False,512,False,P,True,512,True,image/png,,621,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00013 (2 cópias).""]"
TEM-000032,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/spark_04.png,spark_04,spark_04.png,.png,IMAGE_TEXTURE,Vfx,Spark 04.Png,World of Claudecraft,77451,542198dcb07aab51469cdb6211c87583ebc2516e6b03238fafbf92c6c8966707,2,DUP-00014,OK,FOUND_NEARBY,LICENSE,previews/TEM-000032_spark_04.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[2,2,2],[4,4,4],[3,3,3]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,163,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00014 (2 cópias).""]"
TEM-000033,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/circle_05.png,circle_05,circle_05.png,.png,IMAGE_TEXTURE,Vfx,Circle 05.Png,World of Claudecraft,27583,05e87b80ad4e65ddc0904f91f8520bb22059ca05c053ec7f5c780118e1294012,2,DUP-00015,OK,FOUND_NEARBY,LICENSE,previews/TEM-000033_circle_05.jpg,[],,,,,,,262144,"[[0,0,0],[1,1,1],[2,2,2],[4,4,4],[3,3,3]]",,2026-08-17T18:53:10+00:00,8,1,PNG,1,False,512,False,P,True,512,True,image/png,,169,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00015 (2 cópias).""]"
TEM-000034,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/fire_01.png,fire_01,fire_01.png,.png,IMAGE_TEXTURE,Vfx,Fire 01.Png,World of Claudecraft,96339,35fc73c16895d11e6782aba8d4a9b374cd09fad914429cef12d1f6612a38851b,2,DUP-00016,OK,FOUND_NEARBY,LICENSE,previews/TEM-000034_fire_01.jpg,[],,,,,,,262144,"[[0,0,0],[1,1,1],[2,2,2],[3,3,3],[4,4,4]]",,2026-08-17T18:53:10+00:00,8,1,PNG,1,False,512,False,P,True,512,True,image/png,,246,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00016 (2 cópias).""]"
TEM-000035,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/magic_01.png,magic_01,magic_01.png,.png,IMAGE_TEXTURE,Vfx,Magic 01.Png,World of Claudecraft,60113,ba25d57c52ba4bfe83953acac9ef697135ecdf75aa27b75811380f9771070c36,2,DUP-00017,OK,FOUND_NEARBY,LICENSE,previews/TEM-000035_magic_01.jpg,[],,,,,,,262144,"[[0,0,0],[1,1,1],[2,2,2],[24,24,24],[20,20,20]]",,2026-08-17T18:53:10+00:00,8,1,PNG,1,False,512,False,P,True,512,True,image/png,,124,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00017 (2 cópias).""]"
TEM-000036,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/light_02.png,light_02,light_02.png,.png,IMAGE_TEXTURE,Vfx,Light 02.Png,World of Claudecraft,60327,9ec3befd7a9fa4ef78d503fbb90a633a52a504eee1d57c5859a93226e09e9ddc,2,DUP-00018,OK,FOUND_NEARBY,LICENSE,previews/TEM-000036_light_02.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[2,2,2],[3,3,3],[4,4,4]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,256,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00018 (2 cópias).""]"
TEM-000037,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/twirl_01.png,twirl_01,twirl_01.png,.png,IMAGE_TEXTURE,Vfx,Twirl 01.Png,World of Claudecraft,31267,18137131f93a9f97dbe9ba6f405a6c89236759875635c97be8c4859617a6a5f7,2,DUP-00019,OK,FOUND_NEARBY,LICENSE,previews/TEM-000037_twirl_01.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[2,2,2],[3,3,3],[5,5,5]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,244,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00019 (2 cópias).""]"
TEM-000038,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/spark_06.png,spark_06,spark_06.png,.png,IMAGE_TEXTURE,Vfx,Spark 06.Png,World of Claudecraft,42423,b615e988e12bbff49ad061c59d8d08f976fab9f72ceac0224b67b4558e336857,2,DUP-00020,OK,FOUND_NEARBY,LICENSE,previews/TEM-000038_spark_06.jpg,[],,,,,,,262144,"[[0,0,0],[1,1,1],[2,2,2],[4,4,4],[3,3,3]]",,2026-08-17T18:53:10+00:00,8,1,PNG,1,False,512,False,P,True,512,True,image/png,,224,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00020 (2 cópias).""]"
TEM-000039,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/vfx/magic_04.png,magic_04,magic_04.png,.png,IMAGE_TEXTURE,Vfx,Magic 04.Png,World of Claudecraft,31286,db52cb9014be1bb580eaca82ae17e7e01fa28ee29c7325d68274d98152f02baa,2,DUP-00021,OK,FOUND_NEARBY,LICENSE,previews/TEM-000039_magic_04.jpg,[],,,,,,,1048576,"[[0,0,0],[2,2,2],[3,3,3],[5,5,5],[1,1,1]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,True,image/png,,151,,,unspecified,,,,,,,"[""Duplicado exato: grupo DUP-00021 (2 cópias).""]"
